customer_id,customer_name,email,phone,address,total_purchases,total_spent,loyalty_points,average_order_value
C0001,Customer 1,customer1@example.com,9983088169,Address 1,76,712,4394,226
C0002,Customer 2,customer2@example.com,9970382958,Address 2,31,9118,1587,478
C0003,Customer 3,customer3@example.com,9947058957,Address 3,81,7867,492,220
C0004,Customer 4,customer4@example.com,9966620863,Address 4,41,6465,3503,410
C0005,Customer 5,customer5@example.com,9950349914,Address 5,82,2705,212,357
C0006,Customer 6,customer6@example.com,9922300772,Address 6,89,7941,1436,232
C0007,Customer 7,customer7@example.com,9903711909,Address 7,2,4007,2433,373
C0008,Customer 8,customer8@example.com,9946691957,Address 8,38,1482,1721,420
C0009,Customer 9,customer9@example.com,9923070998,Address 9,85,2082,2555,168
C0010,Customer 10,customer10@example.com,9943642358,Address 10,66,4090,1769,230
C0011,Customer 11,customer11@example.com,9944166105,Address 11,98,3577,1357,362
C0012,Customer 12,customer12@example.com,9902738148,Address 12,82,3400,2208,250
C0013,Customer 13,customer13@example.com,9912247337,Address 13,26,8755,2252,449
C0014,Customer 14,customer14@example.com,9911545160,Address 14,31,6522,4846,401
C0015,Customer 15,customer15@example.com,9916365527,Address 15,60,9102,741,140
C0016,Customer 16,customer16@example.com,9968598987,Address 16,98,3659,1047,460
C0017,Customer 17,customer17@example.com,9907561794,Address 17,71,8422,33,188
C0018,Customer 18,customer18@example.com,9929019973,Address 18,38,1517,3833,126
C0019,Customer 19,customer19@example.com,9985479646,Address 19,87,8153,4581,36
C0020,Customer 20,customer20@example.com,9998892285,Address 20,27,6435,3421,352
C0021,Customer 21,customer21@example.com,9922660735,Address 21,71,5924,3635,325
C0022,Customer 22,customer22@example.com,9971542136,Address 22,95,4260,4221,186
C0023,Customer 23,customer23@example.com,9996517143,Address 23,46,7969,1008,464
C0024,Customer 24,customer24@example.com,9940648332,Address 24,7,2061,525,47
C0025,Customer 25,customer25@example.com,9985999876,Address 25,83,2728,807,480
C0026,Customer 26,customer26@example.com,9943934269,Address 26,84,4282,471,309
C0027,Customer 27,customer27@example.com,9995720159,Address 27,42,9869,3961,39
C0028,Customer 28,customer28@example.com,9953854044,Address 28,47,4594,6,325
C0029,Customer 29,customer29@example.com,9912027494,Address 29,91,976,3281,54
C0030,Customer 30,customer30@example.com,9946280156,Address 30,41,5701,2738,450
C0031,Customer 31,customer31@example.com,9942191781,Address 31,74,3242,3159,25
C0032,Customer 32,customer32@example.com,9958455742,Address 32,93,5902,2680,141
C0033,Customer 33,customer33@example.com,9926009490,Address 33,52,2396,463,216
C0034,Customer 34,customer34@example.com,9953358120,Address 34,22,8835,1635,327
C0035,Customer 35,customer35@example.com,9983623161,Address 35,15,7233,4755,162
C0036,Customer 36,customer36@example.com,9977415989,Address 36,96,6793,2333,359
C0037,Customer 37,customer37@example.com,9960830756,Address 37,31,693,1353,401
C0038,Customer 38,customer38@example.com,9917335695,Address 38,69,4683,97,296
C0039,Customer 39,customer39@example.com,9955571689,Address 39,78,7948,2603,444
C0040,Customer 40,customer40@example.com,9956048738,Address 40,37,6639,155,198
C0041,Customer 41,customer41@example.com,9981670942,Address 41,22,427,4521,193
C0042,Customer 42,customer42@example.com,9983526467,Address 42,55,3586,4782,40
C0043,Customer 43,customer43@example.com,9957870800,Address 43,81,3778,1455,163
C0044,Customer 44,customer44@example.com,9980627607,Address 44,37,1297,1130,79
C0045,Customer 45,customer45@example.com,9930792912,Address 45,89,6414,52,372
C0046,Customer 46,customer46@example.com,9995498368,Address 46,88,7966,3499,336
C0047,Customer 47,customer47@example.com,9995716795,Address 47,86,8366,1208,409
C0048,Customer 48,customer48@example.com,9934299774,Address 48,48,2013,3474,213
C0049,Customer 49,customer49@example.com,9950813018,Address 49,79,2698,4975,360
C0050,Customer 50,customer50@example.com,9984791472,Address 50,22,1862,3352,453
C0051,Customer 51,customer51@example.com,9976766545,Address 51,62,2122,454,373
C0052,Customer 52,customer52@example.com,9911729416,Address 52,51,9852,3782,439
C0053,Customer 53,customer53@example.com,9999861313,Address 53,96,5930,4488,321
C0054,Customer 54,customer54@example.com,9954725243,Address 54,20,8055,4887,258
C0055,Customer 55,customer55@example.com,9922860942,Address 55,98,4515,1872,321
C0056,Customer 56,customer56@example.com,9917895810,Address 56,58,4193,1974,494
C0057,Customer 57,customer57@example.com,9986882655,Address 57,95,383,3960,307
C0058,Customer 58,customer58@example.com,9982985443,Address 58,29,4840,2451,224
C0059,Customer 59,customer59@example.com,9992955490,Address 59,17,1553,4835,143
C0060,Customer 60,customer60@example.com,9924340552,Address 60,47,8966,1585,81
C0061,Customer 61,customer61@example.com,9904198540,Address 61,65,5825,2367,249
C0062,Customer 62,customer62@example.com,9976031176,Address 62,66,4420,3143,30
C0063,Customer 63,customer63@example.com,9933196983,Address 63,16,506,2638,35
C0064,Customer 64,customer64@example.com,9905724906,Address 64,38,6273,4329,394
C0065,Customer 65,customer65@example.com,9932598452,Address 65,72,2141,358,467
C0066,Customer 66,customer66@example.com,9973327673,Address 66,71,8402,2240,264
C0067,Customer 67,customer67@example.com,9940596452,Address 67,22,758,574,45
C0068,Customer 68,customer68@example.com,9907552857,Address 68,89,4236,4147,187
C0069,Customer 69,customer69@example.com,9959406429,Address 69,71,2839,4621,314
C0070,Customer 70,customer70@example.com,9913103624,Address 70,8,8942,80,72
C0071,Customer 71,customer71@example.com,9918928520,Address 71,61,4859,192,152
C0072,Customer 72,customer72@example.com,9984567349,Address 72,57,8611,3969,480
C0073,Customer 73,customer73@example.com,9917352606,Address 73,70,4495,2386,149
C0074,Customer 74,customer74@example.com,9925750305,Address 74,69,1633,4540,118
C0075,Customer 75,customer75@example.com,9931727210,Address 75,53,3567,4794,383
C0076,Customer 76,customer76@example.com,9972478500,Address 76,14,8288,3959,349
C0077,Customer 77,customer77@example.com,9935945927,Address 77,49,3067,3748,488
C0078,Customer 78,customer78@example.com,9997350409,Address 78,18,6736,346,446
C0079,Customer 79,customer79@example.com,9917882262,Address 79,17,2392,1268,395
C0080,Customer 80,customer80@example.com,9939798586,Address 80,66,4050,2624,13
C0081,Customer 81,customer81@example.com,9918155956,Address 81,76,6401,4361,185
C0082,Customer 82,customer82@example.com,9990250111,Address 82,57,6681,3841,55
C0083,Customer 83,customer83@example.com,9915048163,Address 83,90,1971,1731,142
C0084,Customer 84,customer84@example.com,9935389756,Address 84,3,2388,1542,144
C0085,Customer 85,customer85@example.com,9976798754,Address 85,45,4253,4329,83
C0086,Customer 86,customer86@example.com,9948533941,Address 86,29,4671,1246,464
C0087,Customer 87,customer87@example.com,9998676930,Address 87,14,1646,1992,379
C0088,Customer 88,customer88@example.com,9936491311,Address 88,66,1255,2174,310
C0089,Customer 89,customer89@example.com,9979938356,Address 89,56,8742,1089,497
C0090,Customer 90,customer90@example.com,9945565147,Address 90,59,5176,3865,220
C0091,Customer 91,customer91@example.com,9971021205,Address 91,31,3452,348,401
C0092,Customer 92,customer92@example.com,9922961793,Address 92,62,6309,1501,317
C0093,Customer 93,customer93@example.com,9913167567,Address 93,71,2115,100,191
C0094,Customer 94,customer94@example.com,9938914020,Address 94,60,3243,3941,238
C0095,Customer 95,customer95@example.com,9938403504,Address 95,35,3015,441,164
C0096,Customer 96,customer96@example.com,9998180605,Address 96,5,7872,467,377
C0097,Customer 97,customer97@example.com,9946278049,Address 97,64,2986,3685,53
C0098,Customer 98,customer98@example.com,9909184112,Address 98,78,3607,1021,380
C0099,Customer 99,customer99@example.com,9983917258,Address 99,95,637,617,259
C0100,Customer 100,customer100@example.com,9932130447,Address 100,88,759,926,467
C0101,Customer 101,customer101@example.com,9934953793,Address 101,61,1416,2845,326
C0102,Customer 102,customer102@example.com,9966801278,Address 102,52,7379,4614,348
C0103,Customer 103,customer103@example.com,9906052901,Address 103,38,3182,2121,56
C0104,Customer 104,customer104@example.com,9936372527,Address 104,20,3252,1393,41
C0105,Customer 105,customer105@example.com,9993769929,Address 105,28,4979,2319,10
C0106,Customer 106,customer106@example.com,9924776504,Address 106,40,720,2791,490
C0107,Customer 107,customer107@example.com,9932994976,Address 107,50,2765,3266,499
C0108,Customer 108,customer108@example.com,9920433450,Address 108,89,4948,4204,201
C0109,Customer 109,customer109@example.com,9941426382,Address 109,6,5137,4626,181
C0110,Customer 110,customer110@example.com,9947858798,Address 110,84,3882,192,483
C0111,Customer 111,customer111@example.com,9911749778,Address 111,74,8945,2508,419
C0112,Customer 112,customer112@example.com,9992700153,Address 112,66,8358,2531,415
C0113,Customer 113,customer113@example.com,9920358758,Address 113,46,5497,3669,397
C0114,Customer 114,customer114@example.com,9961613582,Address 114,77,8634,102,303
C0115,Customer 115,customer115@example.com,9940403957,Address 115,45,3668,2527,278
C0116,Customer 116,customer116@example.com,9977551164,Address 116,84,7915,2868,340
C0117,Customer 117,customer117@example.com,9933349350,Address 117,20,9306,1689,288
C0118,Customer 118,customer118@example.com,9951570093,Address 118,20,3598,451,398
C0119,Customer 119,customer119@example.com,9939495201,Address 119,70,2465,1254,496
C0120,Customer 120,customer120@example.com,9919989983,Address 120,61,8014,3434,375
C0121,Customer 121,customer121@example.com,9968831230,Address 121,70,4236,2659,437
